time,acc_x,acc_y,acc_z
14:28:06.762,0.59131,-0.70972,0.35718;
14:28:06.782,0.59009,-0.70776,0.35693;
14:28:06.802,0.59082,-0.70264,0.36255;
14:28:06.822,0.59204,-0.70288,0.36572;
14:28:06.842,0.59082,-0.70337,0.35889;
14:28:06.862,0.59058,-0.70532,0.35498;
14:28:06.882,0.58765,-0.70825,0.36035;
14:28:06.902,0.58691,-0.70776,0.36646;
14:28:06.922,0.58984,-0.70459,0.36743;
14:28:06.942,0.59106,-0.70703,0.36060;
14:28:06.962,0.59180,-0.71240,0.34985;
14:28:06.982,0.59131,-0.71191,0.35278;
14:28:07.002,0.59180,-0.70630,0.36060;
14:28:07.022,0.59131,-0.70166,0.35889;
14:28:07.042,0.59155,-0.69873,0.35718;
14:28:07.062,0.59253,-0.70239,0.35962;
14:28:07.082,0.59082,-0.70605,0.36182;
14:28:07.102,0.59106,-0.70752,0.35864;
14:28:07.122,0.59009,-0.70752,0.35938;
14:28:07.142,0.58960,-0.70557,0.36133;
14:28:07.162,0.58862,-0.70630,0.36279;
14:28:07.182,0.58813,-0.69971,0.36108;
14:28:07.202,0.58960,-0.70093,0.35718;
14:28:07.222,0.59058,-0.70850,0.35425;
14:28:07.242,0.58691,-0.71631,0.36011;
14:28:07.262,0.58496,-0.71387,0.36963;
14:28:07.282,0.58643,-0.71680,0.36182;
14:28:07.302,0.59326,-0.71973,0.35034;
14:28:07.322,0.59521,-0.71411,0.34180;
14:28:07.342,0.59570,-0.70020,0.35132;
14:28:07.362,0.59448,-0.68921,0.37109;
14:28:07.382,0.59473,-0.69043,0.37720;
14:28:07.402,0.59546,-0.69946,0.37061;
14:28:07.422,0.59375,-0.70850,0.36597;
14:28:07.442,0.59399,-0.70630,0.37109;
14:28:07.462,0.59229,-0.69141,0.37061;
14:28:07.482,0.58984,-0.68481,0.37231;
14:28:07.502,0.58740,-0.69360,0.37183;
14:28:07.522,0.58862,-0.70068,0.37256;
14:28:07.542,0.59229,-0.70166,0.37622;
14:28:07.562,0.59521,-0.69824,0.37354;
14:28:07.582,0.59351,-0.69849,0.36768;
14:28:07.602,0.59155,-0.70532,0.36572;
14:28:07.622,0.59277,-0.70361,0.37207;
14:28:07.642,0.59326,-0.69995,0.37451;
14:28:07.662,0.59082,-0.70166,0.37256;
14:28:07.682,0.58643,-0.69849,0.37329;
14:28:07.702,0.58594,-0.69897,0.37378;
14:28:07.722,0.58716,-0.69141,0.37646;
